"code","libelle","code_origine"
"104","MATERNELLE","002"
"104","MATERNELLE","060"
"104","MATERNELLE","080"
"105","MAITRISE DE LA LANGUE FRANCAISE","002"
"105","MAITRISE DE LA LANGUE FRANCAISE","060"
"105","MAITRISE DE LA LANGUE FRANCAISE","080"
"106","MATHEMATIQUES","002"
"106","MATHEMATIQUES","060"
"106","MATHEMATIQUES","080"
"107","SCIENCES","002"
"107","SCIENCES","060"
"107","SCIENCES","080"
"109","EDUCATION ARTISTIQUE ET CULTURELLE","002"
"109","EDUCATION ARTISTIQUE ET CULTURELLE","060"
"109","EDUCATION ARTISTIQUE ET CULTURELLE","080"
"113","EDUCATION PHYSIQUE ET SPORTIVE","002"
"113","EDUCATION PHYSIQUE ET SPORTIVE","060"
"113","EDUCATION PHYSIQUE ET SPORTIVE","080"
"114","NUMERIQUE EDUCATIF","002"
"114","NUMERIQUE EDUCATIF","080"
"115","LANGUES VIVANTES ETRANGERES","002"
"115","LANGUES VIVANTES ETRANGERES","060"
"115","LANGUES VIVANTES ETRANGERES","080"
"118","CONTINUITE EDUCATIVE (LIAISON INTER CYCLES/DEGRÉS)","002"
"118","CONTINUITE EDUCATIVE (LIAISON INTER CYCLES/DEGRÉS)","060"
"118","CONTINUITE EDUCATIVE (LIAISON INTER CYCLES/DEGRÉS)","080"
"119","ECOLE INCLUSIVE","002"
"119","ECOLE INCLUSIVE","060"
"119","ECOLE INCLUSIVE","080"
"122","FORMATION DE FORMATEURS (DEA, PEMF, CP)","080"
"122","FORMATION DE FORMATEURS (DEA,PEMF,CP)","002"
"122","FORMATION DE FORMATEURS (DEA,PEMF,CP)","060"
"125","FORMATION DES DIRECTEURS","002"
"125","FORMATION DES DIRECTEURS","060"
"125","FORMATION DES DIRECTEURS","080"
"135","ACCOMPAGNEMENT DES FUTURS ENSEIGNANTS","060"
"AAP","ARTS APPLIQUES","020"
"ACU","ARTS ET CULTURE","020"
"ADM","ADMINISTRATION ET GESTION - ADAPTATION A L'EMPLOI","020"
"ALL","ALLEMAND","020"
"ANG","ANGLAIS","020"
"APF","TUTORAT","020"
"APL","ARTS PLASTIQUES","020"
"APT","TUTORAT RH","020"
"ASO","ASSISTANTS SOCIAUX","020"
"BIO","BIOCHIMIE GENIE BIOLOGIQUE","020"
"CLIM","RESPECTER AUTRUI","002"
"CLIM","RESPECTER AUTRUI","020"
"CLIM","RESPECTER AUTRUI","060"
"CLIM","RESPECTER AUTRUI","080"
"COP","ORIENTATION","020"
"CPE","CONSEILLERS PRINCIPAUX D'EDUCATION","020"
"DIDG","DIDACTIQUE GÉNÉRALE","020"
"DOC","DOCUMENTATION","020"
"DTM","DROIT ET MANAGEMENT","020"
"EBP","ECOLE INCLUSIVE","020"
"ECO","SCIENCES ECONOMIQUES ET SOCIALES","020"
"EDD","EDUCATION AU DEVELOPPEMENT DURABLE","002"
"EDD","EDUCATION AU DEVELOPPEMENT DURABLE","020"
"EDD","EDUCATION AU DEVELOPPEMENT DURABLE","080"
"EDM","EDUCATION MUSICALE","020"
"EDP","EDUCATION PRIORITAIRE","002"
"EDP","EDUCATION PRIORITAIRE","020"
"EDP","EDUCATION PRIORITAIRE","060"
"EDP","EDUCATION PRIORITAIRE","080"
"EGG","ECO-GESTION LYCÉE","020"
"EGLP","ECO-GESTION LP","020"
"EP","ENCADREMENT PEDAGOGIQUE","020"
"EPS","EDUCATION PHYSIQUE ET SPORTIVE","020"
"ESP","ESPAGNOL","020"
"EST","ENSEIGNEMENT TECHNIQUE - DAET","020"
"FSPA","FORMATIONS STATUTAIRES","002"
"FSPA","FORMATIONS STATUTAIRES","020"
"FSPA","FORMATIONS STATUTAIRES","060"
"FSPA","FORMATIONS STATUTAIRES","080"
"FTRA","FORMATIONS TRANSVERSALES","002"
"FTRA","FORMATIONS TRANSVERSALES","060"
"FTRA","FORMATIONS TRANSVERSALES","080"
"HIG","HISTOIRE GEOGRAPHIE","020"
"INI","INFIRMIER","020"
"IVP","PÔLE VOIE PROFESSIONNELLE","020"
"LAN","LETTRES ANGLAIS","020"
"LEES","LETTRES ESPAGNOL","020"
"LET","LETTRES","020"
"LHI","LETTRES HISTOIRE","020"
"LTAL","LETTRES ALLEMAND","020"
"MAT","MATHEMATIQUES","020"
"MED","MEDECIN","020"
"MSC","MATHEMATIQUES SCIENCES","020"
"NSI","NUMÉRIQUE ET SCIENCES INFORMATIQUES","020"
"NUM","NUMERIQUE","020"
"OPE","OPERA : RECONVERSION - ADAPTATION","020"
"PCO","PREPARATIONS CONCOURS","020"
"PHI","PHILOSOPHIE","020"
"PHY","SCIENCES PHYSIQUES","020"
"PLA","PÔLE LANGUES","020"
"PSAN","ECOLE PROMOTRICE DE SANTE","020"
"PSC","PÔLE SCIENTIFIQUE","020"
"PSH","PÔLE SCIENCES HUMAINES","020"
"RES","RESSOURCES - GROUPE DE TRAVAIL - CONCEPTION","020"
"RESA","FORMATION DE FORMATEURS","002"
"RESA","FORMATION DE FORMATEURS ","020"
"SILG","SII LG","020"
"SILP","STI LP","020"
"SMS","SCIENCES ET TECHNIQUES MEDICO-SOCIALES","020"
"SSA","SC BIO SCIENCES SOC APPLIQUES","020"
"SST","PREMIERS SECOURS, SANTÉ, SÉCURITÉ","002"
"SST","PREMIERS SECOURS, SANTÉ, SÉCURITÉ","020"
"SST","PREMIERS SECOURS, SANTÉ, SÉCURITÉ","060"
"SST","PREMIERS SECOURS, SANTÉ, SÉCURITÉ","080"
"STAG","STAGIAIRES SIMULTANÉS","020"
"SVT","SCIENCES DE LA VIE ET DE LA TERRE","020"
"TEC","TECHNOLOGIE","020"

